structure,type,seas_adj,date,value
mining,nom,csa,1999-01-01,181.774736980905
mining,nom,csa,1999-04-01,179.984395110753
mining,nom,csa,1999-07-01,178.973959809319
mining,nom,csa,1999-10-01,177.793574444609
mining,nom,csa,2000-01-01,176.07872334759
mining,nom,csa,2000-04-01,174.979391638192
mining,nom,csa,2000-07-01,175.001528901502
mining,nom,csa,2000-10-01,175.547762262428
mining,nom,csa,2001-01-01,177.790597719573
mining,nom,csa,2001-04-01,180.884107362899
mining,nom,csa,2001-07-01,180.636098258579
mining,nom,csa,2001-10-01,179.689331402488
mining,nom,csa,2002-01-01,179.225057231806
mining,nom,csa,2002-04-01,180.674593732507
mining,nom,csa,2002-07-01,178.718073831715
mining,nom,csa,2002-10-01,175.521797891646
mining,nom,csa,2003-01-01,170.624316837872
mining,nom,csa,2003-04-01,167.723931338379
mining,nom,csa,2003-07-01,167.67406450145
mining,nom,csa,2003-10-01,169.711736802302
mining,nom,csa,2004-01-01,173.157300961368
mining,nom,csa,2004-04-01,174.955483043292
mining,nom,csa,2004-07-01,177.383599127557
mining,nom,csa,2004-10-01,179.892400686947
mining,nom,csa,2005-01-01,182.858186708724
mining,nom,csa,2005-04-01,185.018704923208
mining,nom,csa,2005-07-01,184.92662098902
mining,nom,csa,2005-10-01,184.267263487499
mining,nom,csa,2006-01-01,182.568594496922
mining,nom,csa,2006-04-01,180.750365277834
mining,nom,csa,2006-07-01,181.556589318798
mining,nom,csa,2006-10-01,182.971470124304
mining,nom,csa,2007-01-01,186.729159163669
mining,nom,csa,2007-04-01,187.867962228838
mining,nom,csa,2007-07-01,187.023856386347
mining,nom,csa,2007-10-01,184.82367212301
mining,nom,csa,2008-01-01,183.230779652984
mining,nom,csa,2008-04-01,183.2243786395
mining,nom,csa,2008-07-01,184.104356804889
mining,nom,csa,2008-10-01,185.764054817897
mining,nom,csa,2009-01-01,191.375317538547
mining,nom,csa,2009-04-01,195.388668797286
mining,nom,csa,2009-07-01,199.229815726632
mining,nom,csa,2009-10-01,203.60404275415
mining,nom,csa,2010-01-01,208.502648579713
mining,nom,csa,2010-04-01,210.656571887322
mining,nom,csa,2010-07-01,210.852049692131
mining,nom,csa,2010-10-01,209.215124584181
mining,nom,csa,2011-01-01,205.86795924599
mining,nom,csa,2011-04-01,203.553254360587
mining,nom,csa,2011-07-01,200.136394290554
mining,nom,csa,2011-10-01,199.818886453482
mining,nom,csa,2012-01-01,199.381974203599
mining,nom,csa,2012-04-01,199.491272993565
mining,nom,csa,2012-07-01,199.845861855137
mining,nom,csa,2012-10-01,200.656622804198
mining,nom,csa,2013-01-01,204.111979573526
mining,nom,csa,2013-04-01,204.490604684213
mining,nom,csa,2013-07-01,202.926607699993
mining,nom,csa,2013-10-01,200.49371652577
mining,nom,csa,2014-01-01,194.156918015913
mining,nom,csa,2014-04-01,190.336259965842
mining,nom,csa,2014-07-01,189.357013630997
mining,nom,csa,2014-10-01,192.253239323465
mining,nom,csa,2015-01-01,195.517775551998
mining,nom,csa,2015-04-01,197.567698434463
mining,nom,csa,2015-07-01,201.548839902878
mining,nom,csa,2015-10-01,202.710034631814
mining,nom,csa,2016-01-01,207.840523901624
mining,nom,csa,2016-04-01,208.95824581419
mining,nom,csa,2016-07-01,209.579443237832
mining,nom,csa,2016-10-01,209.238219393853
mining,nom,csa,2017-01-01,208.935245163881
mining,nom,csa,2017-04-01,210.54447002454
mining,nom,csa,2017-07-01,208.257271554236
mining,nom,csa,2017-10-01,205.736230126099
mining,nom,csa,2018-01-01,202.310130658844
mining,nom,csa,2018-04-01,198.696257787929
mining,nom,csa,2018-07-01,195.772568453484
mining,nom,csa,2018-10-01,191.230768852953
mining,nom,csa,2019-01-01,197.173038563416
mining,nom,csa,2019-04-01,192.94440794734
mining,nom,csa,2019-07-01,193.16360970379
manu,nom,csa,1990-01-01,18296.8097799778
manu,nom,csa,1990-04-01,18367.5242395054
manu,nom,csa,1990-07-01,18445.0795615605
manu,nom,csa,1990-10-01,18502.423864512
manu,nom,csa,1991-01-01,18803.638386611
manu,nom,csa,1991-04-01,18921.5852168119
manu,nom,csa,1991-07-01,18960.9473477291
manu,nom,csa,1991-10-01,18954.8981274125
manu,nom,csa,1992-01-01,19236.9915343957
manu,nom,csa,1992-04-01,18989.2766477706
manu,nom,csa,1992-07-01,18821.1377016827
manu,nom,csa,1992-10-01,18450.0457247875
manu,nom,csa,1993-01-01,18650.8769197737
manu,nom,csa,1993-04-01,18885.3842947535
manu,nom,csa,1993-07-01,19083.7944751306
manu,nom,csa,1993-10-01,19212.2723588652
manu,nom,csa,1994-01-01,19727.8618800062
manu,nom,csa,1994-04-01,19677.9428644849
manu,nom,csa,1994-07-01,20090.3822187511
manu,nom,csa,1994-10-01,20253.6453122509
manu,nom,csa,1995-01-01,19377.1649234705
manu,nom,csa,1995-04-01,19611.614278796
manu,nom,csa,1995-07-01,19684.5519961799
manu,nom,csa,1995-10-01,19696.7809780465
manu,nom,csa,1996-01-01,19612.9758737183
manu,nom,csa,1996-04-01,19452.9653154864
manu,nom,csa,1996-07-01,19369.8831655103
manu,nom,csa,1996-10-01,19419.083198369
manu,nom,csa,1997-01-01,19636.2340949967
manu,nom,csa,1997-04-01,19668.1473200795
manu,nom,csa,1997-07-01,19971.9334223008
manu,nom,csa,1997-10-01,20314.1567602255
manu,nom,csa,1998-01-01,20011.5634232735
manu,nom,csa,1998-04-01,20230.2961076067
manu,nom,csa,1998-07-01,19963.3978012616
manu,nom,csa,1998-10-01,19663.9395268764
manu,nom,csa,1999-01-01,19755.7395652616
manu,nom,csa,1999-04-01,19764.42209185
manu,nom,csa,1999-07-01,19983.8076211152
manu,nom,csa,1999-10-01,20489.1303738912
manu,nom,csa,2000-01-01,20035.5266728566
manu,nom,csa,2000-04-01,20159.6850817254
manu,nom,csa,2000-07-01,20702.9688872977
manu,nom,csa,2000-10-01,21302.9866525502
manu,nom,csa,2001-01-01,21815.6700038769
manu,nom,csa,2001-04-01,22118.7019327301
manu,nom,csa,2001-07-01,21921.7712567119
manu,nom,csa,2001-10-01,21823.4210933436
manu,nom,csa,2002-01-01,22262.2395704032
manu,nom,csa,2002-04-01,22541.0918847857
manu,nom,csa,2002-07-01,22561.7008528238
manu,nom,csa,2002-10-01,22343.4683638287
manu,nom,csa,2003-01-01,22240.2833331658
manu,nom,csa,2003-04-01,22167.7166426236
manu,nom,csa,2003-07-01,22524.425673162
manu,nom,csa,2003-10-01,22978.186104293
manu,nom,csa,2004-01-01,23181.5831951323
manu,nom,csa,2004-04-01,23150.4085093891
manu,nom,csa,2004-07-01,23134.3337999375
manu,nom,csa,2004-10-01,23051.5237560464
manu,nom,csa,2005-01-01,23486.2471686173
manu,nom,csa,2005-04-01,24141.9953734303
manu,nom,csa,2005-07-01,24542.0373033566
manu,nom,csa,2005-10-01,24918.2198507211
manu,nom,csa,2006-01-01,25549.2149411149
manu,nom,csa,2006-04-01,26074.0107252973
manu,nom,csa,2006-07-01,26467.3015801339
manu,nom,csa,2006-10-01,27391.3999532422
manu,nom,csa,2007-01-01,27582.4078782577
manu,nom,csa,2007-04-01,28117.1875528045
manu,nom,csa,2007-07-01,28672.553733962
manu,nom,csa,2007-10-01,29009.2421078111
manu,nom,csa,2008-01-01,29642.7258772701
manu,nom,csa,2008-04-01,30678.9031883656
manu,nom,csa,2008-07-01,30779.3649267435
manu,nom,csa,2008-10-01,28759.5055318168
manu,nom,csa,2009-01-01,27292.0279643304
manu,nom,csa,2009-04-01,27219.8584318426
manu,nom,csa,2009-07-01,27598.0007696332
manu,nom,csa,2009-10-01,27696.7119821193
manu,nom,csa,2010-01-01,28123.0753811117
manu,nom,csa,2010-04-01,28463.2116278727
manu,nom,csa,2010-07-01,28627.2713564364
manu,nom,csa,2010-10-01,28807.2001101444
manu,nom,csa,2011-01-01,29598.5558801718
manu,nom,csa,2011-04-01,30017.0930696965
manu,nom,csa,2011-07-01,29393.3263138475
manu,nom,csa,2011-10-01,29731.2763343317
manu,nom,csa,2012-01-01,29375.2408617437
manu,nom,csa,2012-04-01,29250.3829944627
manu,nom,csa,2012-07-01,29586.719143105
manu,nom,csa,2012-10-01,29415.695945939
manu,nom,csa,2013-01-01,29621.2252175136
manu,nom,csa,2013-04-01,29816.0985083785
manu,nom,csa,2013-07-01,30116.9247554726
manu,nom,csa,2013-10-01,29627.8026606459
manu,nom,csa,2014-01-01,29679.3314999875
manu,nom,csa,2014-04-01,29670.3888788673
manu,nom,csa,2014-07-01,30026.004055228
manu,nom,csa,2014-10-01,30100.8527351847
manu,nom,csa,2015-01-01,29390.8321064077
manu,nom,csa,2015-04-01,28939.9876628385
manu,nom,csa,2015-07-01,29144.6255449252
manu,nom,csa,2015-10-01,29798.9945449188
manu,nom,csa,2016-01-01,29939.3468045901
manu,nom,csa,2016-04-01,29719.7965728248
